X,Y,Voltage
4.0,3.0,30.017536895172555
5.0,3.0,30.022475535389198
6.0,3.0,30.02778503695734
7.0,3.0,30.0335408236369
8.0,3.0,30.03981899935529
9.0,3.0,30.046696458324714
10.0,3.0,30.05425099307102
11.0,3.0,30.062561399633296
12.0,3.0,30.07170757899595
13.0,3.0,30.08177063357843
14.0,3.0,30.09283295733057
15.0,3.0,30.104978317650982
16.0,3.0,30.11829192696184
17.0,3.0,30.132860501321968
18.0,3.0,30.14877230293498
19.0,3.0,30.166117162798223
20.0,3.0,30.18498647902917
21.0,3.0,30.20547318558527
22.0,3.0,30.227671685145452
23.0,3.0,30.25167773882997
24.0,3.0,30.277588304181382
25.0,3.0,30.305501311394345
26.0,3.0,30.335515366145763
27.0,3.0,30.367729365519022
28.0,3.0,30.40224201141967
29.0,3.0,30.439151203528965
30.0,3.0,30.478553291226937
31.0,3.0,30.52054216103791
32.0,3.0,30.565208133024935
33.0,3.0,30.612636636218824
34.0,3.0,30.662906629680514
35.0,3.0,30.716088732271775
36.0,3.0,30.77224302081553
37.0,3.0,30.83141645330836
38.0,3.0,30.893639871555205
39.0,3.0,30.958924536505254
40.0,3.0,31.027258150324517
41.0,3.0,31.09860032268414
42.0,3.0,31.172877445940845
43.0,3.0,31.24997695615107
44.0,3.0,31.329740975745285
45.0,3.0,31.411959360928048
46.0,3.0,31.496362214264263
47.0,3.0,31.5826119720739
48.0,3.0,31.670295238249746
49.0,3.0,31.758914610844613
50.0,3.0,31.847880833258344
51.0,3.0,31.936505693251082
52.0,3.0,32.02399618167294
53.0,3.0,32.10945049559217
54.0,3.0,32.19185650977656
55.0,3.0,32.27009332545965
56.0,3.0,32.34293641535875
57.0,3.0,32.40906670405566
58.0,3.0,32.46708365107827
59.0,3.0,32.515522058268544
60.0,3.0,32.552871944682536
61.0,3.0,32.57760048221398
62.0,3.0,32.58817473024757
63.0,3.0,32.58308380034552
64.0,3.0,32.56085914092431
65.0,3.0,32.52009183395822
66.0,3.0,32.459446084007986
67.0,3.0,32.37766838280421
68.0,3.0,32.27359208465615
69.0,3.0,32.1461372830741
70.0,3.0,31.99430591493454
71.0,3.0,31.817171933614173
72.0,3.0,31.613866198982123
73.0,3.0,31.383555448904424
74.0,3.0,31.12541436351313
75.0,3.0,30.838589324873194
76.0,3.0,30.522152015694626
77.0,3.0,30.175040478526267
78.0,3.0,29.795984629384986
79.0,3.0,29.383412399113013
80.0,3.0,28.93533150552234
81.0,3.0,28.449180085358062
82.0,3.0,27.921636646172203
83.0,3.0,27.34837544768111
84.0,3.0,26.723746606068563
85.0,3.0,26.040349561028744
86.0,3.0,25.288451837262354
87.0,3.0,24.45517855871248
88.0,3.0,23.52335557878639
89.0,3.0,22.46981936432386
90.0,3.0,21.262890849491594
91.0,3.0,19.858515885237445
92.0,3.0,18.194249153393606
93.0,3.0,16.17972842684828
94.0,3.0,13.681498444682669
95.0,3.0,10.499180537898928
96.0,3.0,6.330324449114048
97.0,3.0,0.7281721176070244
98.0,3.0,-6.911752411974649
99.0,3.0,-17.19395592720611
100.0,3.0,-30.0
0.0,4.0,30.0
1.0,4.0,30.005484954887667
2.0,4.0,30.01106802701108
3.0,4.0,30.016847476763605
4.0,4.0,30.022921869681866
5.0,4.0,30.029390228632582
6.0,4.0,30.036352185455755
7.0,4.0,30.043908131761828
8.0,4.0,30.052159368473177
9.0,4.0,30.061208253560732
10.0,4.0,30.071158347253004
11.0,4.0,30.082114553782336
12.0,4.0,30.094183258476686
13.0,4.0,30.10747245869955
14.0,4.0,30.122091886778247
15.0,4.0,30.138153122634304
16.0,4.0,30.15576969332801
17.0,4.0,30.175057156143925
18.0,4.0,30.196133161159977
19.0,4.0,30.219117488447555
20.0,4.0,30.24413205412624
21.0,4.0,30.27130087842586
22.0,4.0,30.30075000767182
23.0,4.0,30.332607380681125
24.0,4.0,30.367002628415786
25.0,4.0,30.404066793856256
26.0,4.0,30.44393195690623
27.0,4.0,30.486730746691016
28.0,4.0,30.532595720837477
29.0,4.0,30.581658588202657
30.0,4.0,30.634049248027292
31.0,4.0,30.689894614627487
32.0,4.0,30.74931719250656
33.0,4.0,30.812433362205343
34.0,4.0,30.879351332381976
35.0,4.0,30.950168708642956
36.0,4.0,31.0249696247266
37.0,4.0,31.103821377061315
38.0,4.0,31.186770499901467
39.0,4.0,31.273838215775715
40.0,4.0,31.365015195672218
41.0,4.0,31.460255566315176
42.0,4.0,31.559470109453645
43.0,4.0,31.662518612065238
44.0,4.0,31.76920134893531
45.0,4.0,31.87924971273644
46.0,4.0,31.992316054280728
47.0,4.0,32.10796285982008
48.0,4.0,32.22565147541577
49.0,4.0,32.34473069154666
50.0,4.0,32.46442562298343
51.0,4.0,32.583827454422426
52.0,4.0,32.70188476080718
53.0,4.0,32.817397234883735
54.0,4.0,32.929012737549016
55.0,4.0,33.0352285961364
56.0,4.0,33.13439797620568
57.0,4.0,33.22474191334929
58.0,4.0,33.30436720063313
59.0,4.0,33.37128980428661
60.0,4.0,33.42346288682958
61.0,4.0,33.45880795382136
62.0,4.0,33.47524722591238
63.0,4.0,33.47073516854998
64.0,4.0,33.44328722350912
65.0,4.0,33.39100413756178
66.0,4.0,33.312090771383
67.0,4.0,33.20486877191757
68.0,4.0,33.06778289658962
69.0,4.0,32.89940101972137
70.0,4.0,32.69840790441053
71.0,4.0,32.463592693986485
72.0,4.0,32.19382979279728
73.0,4.0,31.888052401170217
74.0,4.0,31.545217478512306
75.0,4.0,31.164260360922736
76.0,4.0,30.744036674527003
77.0,4.0,30.283248564604328
78.0,4.0,29.78035157445504
79.0,4.0,29.233437676883025
80.0,4.0,28.640088826971027
81.0,4.0,27.997193699874007
82.0,4.0,27.300717593310758
83.0,4.0,26.54541123053134
84.0,4.0,25.724437597448116
85.0,4.0,24.828885881726706
86.0,4.0,23.84712646239536
87.0,4.0,22.76393836057813
88.0,4.0,21.559307083566324
89.0,4.0,20.206741391365597
90.0,4.0,18.67088607002835
91.0,4.0,16.904109773303848
92.0,4.0,14.841629628841876
93.0,4.0,12.394648248654391
94.0,4.0,9.441107062476458
95.0,4.0,5.814547184356958
96.0,4.0,1.2946453286765753
97.0,4.0,-4.388500205992143
98.0,4.0,-11.504846107862408
99.0,4.0,-20.16671343705782
100.0,4.0,-30.0
0.0,5.0,30.0
1.0,5.0,30.006672048831195
2.0,5.0,30.013466458087464
3.0,5.0,30.0205057675917
4.0,5.0,30.02791289926563
5.0,5.0,30.0358113478202
6.0,5.0,30.04432537091605
7.0,5.0,30.05358017847157
8.0,5.0,30.06370212066647
9.0,5.0,30.07481887402034
10.0,5.0,30.08705962471738
11.0,5.0,30.10055524809063
12.0,5.0,30.115438482871113
13.0,5.0,30.131844098437426
14.0,5.0,30.149909052863745
15.0,5.0,30.169772639049572
16.0,5.0,30.19157661560772
17.0,5.0,30.215465318479225
18.0,5.0,30.241585748416185
19.0,5.0,30.270087628509483
20.0,5.0,30.30112342481877
21.0,5.0,30.33484832186154
22.0,5.0,30.371420143213733
23.0,5.0,30.410999205736303
24.0,5.0,30.453748093937747
25.0,5.0,30.49983133868011
26.0,5.0,30.54941498179645
27.0,5.0,30.602666005174456
28.0,5.0,30.65975159943493
29.0,5.0,30.7208382434578
30.0,5.0,30.786090561653975
31.0,5.0,30.855669921020688
32.0,5.0,30.929732724652272
33.0,5.0,31.008428352520834
34.0,5.0,31.091896694052128
35.0,5.0,31.18026521041512
36.0,5.0,31.27364545770662
37.0,5.0,31.37212899565239
38.0,5.0,31.475782600509714
39.0,5.0,31.584642696202515
40.0,5.0,31.69870891526631
41.0,5.0,31.81793670219126
42.0,5.0,31.942228877916666
43.0,5.0,32.071426097763606
44.0,5.0,32.20529615879489
45.0,5.0,32.34352214990032
46.0,5.0,32.485689492840834
47.0,5.0,32.63127199943227
48.0,5.0,32.77961717329839
49.0,5.0,32.92993111747137
50.0,5.0,33.081263572460855
51.0,5.0,33.2324937995799
52.0,5.0,33.3823182303117
53.0,5.0,33.52924100273403
54.0,5.0,33.671568665588964
55.0,5.0,33.807410400521945
56.0,5.0,33.93468503413082
57.0,5.0,34.05113582557963
58.0,5.0,34.154353485784256
59.0,5.0,34.241807122236864
60.0,5.0,34.31088189417351
61.0,5.0,34.358921268769805
62.0,5.0,34.3832710982379
63.0,5.0,34.381322470381136
